First,Last,RookieYear,Brand,Year,CardNumber
Fred,Hutchinson,,Bowman,1950,151
Ellis,Kinder,1950,Bowman,1950,152
Walt,Masterson,,Bowman,1950,153
Gus,Niarhos,,Bowman,1950,154
Frank,Shea,,Bowman,1950,155
Fred,Sanford,,Bowman,1950,156
Mike,Guerra,,Bowman,1950,157
Paul,Lehner,,Bowman,1950,158
Joe,Tipton,,Bowman,1950,159
Mickey,Harris,,Bowman,1950,160
Sherry,Robertson,1950,Bowman,1950,161
Eddie,Yost,,Bowman,1950,162
Earl,Torgeson,,Bowman,1950,163
Sibby,Sisti,,Bowman,1950,164
Bruce,Edwards,,Bowman,1950,165
Joe,Hatton,,Bowman,1950,166
Preacher,Roe,,Bowman,1950,167
Bob,Scheffing,,Bowman,1950,168
Hank,Edwards,,Bowman,1950,169
Dutch,Leonard,,Bowman,1950,170
Harry,Gumbert,,Bowman,1950,171
Peanuts,Lowrey,,Bowman,1950,172
Lloyd,Merriman,1950,Bowman,1950,173
Hank,Thompson,1950,Bowman,1950,174
Monte,Kennedy,,Bowman,1950,175
Sylvester,Donnelly,,Bowman,1950,176
Hank,Borowy,,Bowman,1950,177
Ed,Fitzgerald,,Bowman,1950,178
Chuck,Diering,1950,Bowman,1950,179
Harry,Walker,,Bowman,1950,180
Marino,Pieretti,,Bowman,1950,181
Marino,Pieretti NC,,Bowman,1950,181A
Sam,Zoldak,,Bowman,1950,182
Sam,Zoldak NC,,Bowman,1950,182A
Mickey,Haefner,,Bowman,1950,183
Mickey,Haefner NC,,Bowman,1950,183A
Randy,Gumpert,,Bowman,1950,184
Randy,Gumpert NC,,Bowman,1950,184A
Howie,Judson,1950,Bowman,1950,185
Howie,Judson NC,,Bowman,1950,185A
Ken,Keltner,,Bowman,1950,186
Ken,Keltner NC,,Bowman,1950,186A
Lou,Stringer,,Bowman,1950,187
Lou,Stringer NC,,Bowman,1950,187A
Earl,Johnson,,Bowman,1950,188
Earl,Johnson NC,,Bowman,1950,188A
Owen,Friend,1950,Bowman,1950,189
Owen,Friend NC,,Bowman,1950,189A
Ken,Wood,1950,Bowman,1950,190
Ken,Wood NC,,Bowman,1950,190A
Dick,Starr,1950,Bowman,1950,191
Dick,Starr NC,,Bowman,1950,191A
Bob,Chipman,,Bowman,1950,192
Bob,Chipman NC,,Bowman,1950,192A
Pete,Reiser,,Bowman,1950,193
Pete,Reiser NC,,Bowman,1950,193A
Billy,Cox,,Bowman,1950,194
Billy,Cox NC,,Bowman,1950,194A
Phil,Cavarretta,,Bowman,1950,195
Phil,Cavarretta NC,,Bowman,1950,195A
Doyle,Lade,,Bowman,1950,196
Doyle,Lade NC,,Bowman,1950,196A
Johnny,Wyrostek,,Bowman,1950,197
Johnny,Wyrostek NC,,Bowman,1950,197A
Danny,Litwhiler,,Bowman,1950,198
Danny,Litwhiler NC,,Bowman,1950,198A
Jack,Kramer,,Bowman,1950,199
Jack,Kramer NC,,Bowman,1950,199A
Kirby,Higbe,,Bowman,1950,200
Kirby,Higbe NC,,Bowman,1950,200A
Pete,Castiglione,1950,Bowman,1950,201
Pete,Castiglione NC,,Bowman,1950,201A
Cliff,Chambers,1950,Bowman,1950,202
Cliff,Chambers NC,,Bowman,1950,202A
Danny,Murtaugh,,Bowman,1950,203
Danny,Murtaugh NC,,Bowman,1950,203A
Granny,Hamner,1950,Bowman,1950,204
Granny,Hamner NC,,Bowman,1950,204A
Mike,Goliat,1950,Bowman,1950,205
Mike,Goliat NC,,Bowman,1950,205A
Stan,Lopata,,Bowman,1950,206
Stan,Lopata NC,,Bowman,1950,206A
Max,Lanier,1950,Bowman,1950,207
Max,Lanier NC,,Bowman,1950,207A
Jim,Hearn,,Bowman,1950,208
Jim,Hearn NC,,Bowman,1950,208A
Johnny,Lindell,,Bowman,1950,209
Johnny,Lindell NC,,Bowman,1950,209A
Ted,Gray,,Bowman,1950,210
Ted,Gray NC,,Bowman,1950,210A
Charlie,Keller,,Bowman,1950,211
Charlie,Keller NC,,Bowman,1950,211A
Jerry,Priddy,,Bowman,1950,212
Jerry,Priddy NC,,Bowman,1950,212A
Carl,Scheib,,Bowman,1950,213
Carl,Scheib NC,,Bowman,1950,213A
Dick,Fowler,,Bowman,1950,214
Dick,Fowler NC,,Bowman,1950,214A
Ed,Lopat,,Bowman,1950,215
Ed,Lopat NC,,Bowman,1950,215A
Bob,Porterfield,,Bowman,1950,216
Bob,Porterfield NC,,Bowman,1950,216A
Casey,Stengel,,Bowman,1950,217
Casey,Stengel MG NC,,Bowman,1950,217A
Cliff,Mapes,1950,Bowman,1950,218
Cliff,Mapes NC,,Bowman,1950,218A
Hank,Bauer,1950,Bowman,1950,219
Hank,Bauer NC,,Bowman,1950,219A
Leo,Durocher,,Bowman,1950,220
Leo,Durocher MG NC,,Bowman,1950,220A
Don,Mueller,1950,Bowman,1950,221
Don,Mueller NC,,Bowman,1950,221A
Bobby,Morgan,1950,Bowman,1950,222
Bobby,Morgan NC,,Bowman,1950,222A
Jim,Russell,,Bowman,1950,223
Jim,Russell NC,,Bowman,1950,223A
Jack,Banta,1950,Bowman,1950,224
Jack,Banta NC,,Bowman,1950,224A
Eddie,Sawyer,1950,Bowman,1950,225
Eddie,Sawyer MG NC,,Bowman,1950,225A
Jim,Konstanty,1950,Bowman,1950,226
Jim,Konstanty NC,,Bowman,1950,226A
Bob,Miller,1950,Bowman,1950,227
Bob,Miller NC,,Bowman,1950,227A
Bill,Nicholson,,Bowman,1950,228
Bill,Nicholson NC,,Bowman,1950,228A
Frankie,Frisch,,Bowman,1950,229
Frankie,Frisch MG NC,,Bowman,1950,229A
Bill,Serena,1950,Bowman,1950,230
Bill,Serena NC,,Bowman,1950,230A
Preston,Ward,1950,Bowman,1950,231
Preston,Ward NC,,Bowman,1950,231A
Al,Rosen,1950,Bowman,1950,232
Al,Rosen NC,,Bowman,1950,232A
Allie,Clark,,Bowman,1950,233
Allie,Clark NC,,Bowman,1950,233A
Bobby,Shantz,1950,Bowman,1950,234
Bobby,Shantz NC,,Bowman,1950,234A
Harold,Gilbert,1950,Bowman,1950,235
Harold,Gilbert NC,,Bowman,1950,235A
Bob,Cain,1950,Bowman,1950,236
Bob,Cain NC,,Bowman,1950,236A
Bill,Salkeld,,Bowman,1950,237
Bill,Salkeld NC,,Bowman,1950,237A
Nippy,Jones,1950,Bowman,1950,238
Nippy,Jones NC,,Bowman,1950,238A
Bill,Howerton,1950,Bowman,1950,239
Bill,Howerton NC,,Bowman,1950,239A
Eddie,Lake,,Bowman,1950,240
Eddie,Lake NC,,Bowman,1950,240A
Neil,Berry,1950,Bowman,1950,241
Neil,Berry NC,,Bowman,1950,241A
Dick,Kryhoski,,Bowman,1950,242
Dick,Kryhoski NC,,Bowman,1950,242A
Johnny,Groth,1950,Bowman,1950,243
Johnny,Groth NC,,Bowman,1950,243A
Dale,Coogan,1950,Bowman,1950,244
Dale,Coogan NC,,Bowman,1950,244A
Al,Papai,1950,Bowman,1950,245
Al,Papai NC,,Bowman,1950,245A
Walt,Dropo,1950,Bowman,1950,246
Walt,Dropo NC,,Bowman,1950,246A
Irv,Noren,1950,Bowman,1950,247
Irv,Noren NC,,Bowman,1950,247A
Sam,Jethroe,1950,Bowman,1950,248
Sam,Jethroe NC,,Bowman,1950,248A
Snuffy,Stirnweiss,,Bowman,1950,249
Snuffy,Stirnweiss NC,,Bowman,1950,249A
Ray,Coleman,1950,Bowman,1950,250
Ray,Coleman NC,,Bowman,1950,250A
Les,Moss,1950,Bowman,1950,251
Les,Moss NC,,Bowman,1950,251A
Billy,DeMars NC,,Bowman,1950,252A
Whitey,Ford,1951,Bowman,1951,1
Yogi,Berra,,Bowman,1951,2
Robin,Roberts,,Bowman,1951,3
Del,Ennis,,Bowman,1951,4
Dale,Mitchell,,Bowman,1951,5
Don,Newcombe,,Bowman,1951,6
Gil,Hodges,,Bowman,1951,7
Paul,Lehner,,Bowman,1951,8
Sam,Chapman,,Bowman,1951,9
Red,Schoendienst,,Bowman,1951,10
George,Munger,,Bowman,1951,11
Hank,Majeski,,Bowman,1951,12
Eddie,Stanky,,Bowman,1951,13
Alvin,Dark,,Bowman,1951,14
Johnny,Pesky,,Bowman,1951,15
Maurice,McDermott,,Bowman,1951,16
Pete,Castiglione,,Bowman,1951,17
Gil,Coan,,Bowman,1951,18
Sid,Gordon,,Bowman,1951,19
Del,Crandall,,Bowman,1951,20
Snuffy,Stirnweiss,,Bowman,1951,21
Hank,Sauer,,Bowman,1951,22
Hoot,Evers,,Bowman,1951,23
Ewell,Blackwell,,Bowman,1951,24
Vic,Raschi,,Bowman,1951,25
Phil,Rizzuto,,Bowman,1951,26
Jim,Konstanty,,Bowman,1951,27
Eddie,Waitkus,,Bowman,1951,28
Allie,Clark,,Bowman,1951,29
Bob,Feller,,Bowman,1951,30
Roy,Campanella,,Bowman,1951,31
Duke,Snider,,Bowman,1951,32
Bob,Hooper,1951,Bowman,1951,33
Marty,Marion,,Bowman,1951,34
Al,Zarilla,,Bowman,1951,35
Joe,Dobson,,Bowman,1951,36
Whitey,Lockman,,Bowman,1951,37
Al,Evans,,Bowman,1951,38
Ray,Scarborough,,Bowman,1951,39
Gus,Bell,1951,Bowman,1951,40
Eddie,Yost,,Bowman,1951,41
Vern,Bickford,,Bowman,1951,42
Billy,DeMars,,Bowman,1951,43
Roy,Smalley,,Bowman,1951,44
Art,Houtteman,,Bowman,1951,45
George,Kell,,Bowman,1951,46
Grady,Hatton,,Bowman,1951,47
Ken,Raffensberger,,Bowman,1951,48
Jerry,Coleman,,Bowman,1951,49
Johnny,Mize,,Bowman,1951,50
Andy,Seminick,,Bowman,1951,51
Dick,Sisler,,Bowman,1951,52
Bob,Lemon,,Bowman,1951,53
Ray,Boone,1951,Bowman,1951,54
Gene,Hermanski,,Bowman,1951,55
Ralph,Branca,,Bowman,1951,56
Alex,Kellner,,Bowman,1951,57
Enos,Slaughter,,Bowman,1951,58
Randy,Gumpert,,Bowman,1951,59
Chico,Carrasquel,1951,Bowman,1951,60
Jim,Hearn,,Bowman,1951,61
Lou,Boudreau,,Bowman,1951,62
Bob,Dillinger,,Bowman,1951,63
Bill,Werle,,Bowman,1951,64
Mickey,Vernon,,Bowman,1951,65
Bob,Elliott,,Bowman,1951,66
Roy,Sievers,,Bowman,1951,67
Dick,Kokos,,Bowman,1951,68
Johnny,Schmitz,,Bowman,1951,69
Ron,Northey,,Bowman,1951,70
Jerry,Priddy,,Bowman,1951,71
Lloyd,Merriman,,Bowman,1951,72
Tommy,Byrne,1951,Bowman,1951,73
Billy,Johnson,,Bowman,1951,74
Russ,Meyer,1951,Bowman,1951,75
Stan,Lopata,,Bowman,1951,76
Mike,Goliat,,Bowman,1951,77
Early,Wynn,,Bowman,1951,78
Jim,Hegan,,Bowman,1951,79
Pee,Wee Reese,,Bowman,1951,80
Carl,Furillo,,Bowman,1951,81
Joe,Tipton,,Bowman,1951,82
Carl,Scheib,,Bowman,1951,83
Barney,McCosky,,Bowman,1951,84
Eddie,Kazak,,Bowman,1951,85
Harry,Brecheen,,Bowman,1951,86
Floyd,Baker,,Bowman,1951,87
Eddie,Robinson,,Bowman,1951,88
Hank,Thompson,,Bowman,1951,89
Dave,Koslo,,Bowman,1951,90
Clyde,Vollmer,,Bowman,1951,91
Vern,Stephens,,Bowman,1951,92
Danny,O'Connell,1951,Bowman,1951,93
Clyde,McCullough,,Bowman,1951,94
Sherry,Robertson,,Bowman,1951,95
Sandy,Consuegra,1951,Bowman,1951,96
Bob,Kuzava,,Bowman,1951,97
Willard,Marshall,,Bowman,1951,98
Earl,Torgeson,,Bowman,1951,99
Sherm,Lollar,,Bowman,1951,100
Owen,Friend,,Bowman,1951,101
Dutch,Leonard,,Bowman,1951,102
Andy,Pafko,,Bowman,1951,103
Virgil,Trucks,,Bowman,1951,104
Don,Kolloway,,Bowman,1951,105
Pat,Mullin,,Bowman,1951,106
Johnny,Wyrostek,,Bowman,1951,107
Virgil,Stallcup,,Bowman,1951,108
Allie,Reynolds,,Bowman,1951,109
Bobby,Brown,,Bowman,1951,110
Curt,Simmons,,Bowman,1951,111
Willie,Jones,,Bowman,1951,112
Bill,Nicholson,,Bowman,1951,113
Sam,Zoldak,,Bowman,1951,114
Steve,Gromek,,Bowman,1951,115
Bruce,Edwards,,Bowman,1951,116
Eddie,Miksis,1951,Bowman,1951,117
Preacher,Roe,,Bowman,1951,118
Eddie,Joost,,Bowman,1951,119
Joe,Coleman,,Bowman,1951,120
Gerry,Staley,1951,Bowman,1951,121
Joe,Garagiola,1951,Bowman,1951,122
Howie,Judson,,Bowman,1951,123
Gus,Niarhos,,Bowman,1951,124
Bill,Rigney,,Bowman,1951,125
Bobby,Thomson,,Bowman,1951,126
Sal,Maglie,1951,Bowman,1951,127
Ellis,Kinder,,Bowman,1951,128
Matt,Batts,,Bowman,1951,129
Tom,Saffell,1951,Bowman,1951,130
Cliff,Chambers,,Bowman,1951,131
Cass,Michaels,,Bowman,1951,132
Sam,Dente,,Bowman,1951,133
Warren,Spahn,,Bowman,1951,134
Walker,Cooper,,Bowman,1951,135
Ray,Coleman,,Bowman,1951,136
Dick,Starr,,Bowman,1951,137
Phil,Cavarretta,,Bowman,1951,138
Doyle,Lade,,Bowman,1951,139
Eddie,Lake,,Bowman,1951,140
Fred,Hutchinson,,Bowman,1951,141
Aaron,Robinson,,Bowman,1951,142
Ted,Kluszewski,,Bowman,1951,143
Herman,Wehmeier,,Bowman,1951,144
Fred,Sanford,,Bowman,1951,145
Johnny,Hopp,,Bowman,1951,146
Ken,Heintzelman,,Bowman,1951,147
Granny,Hamner,,Bowman,1951,148
Bubba,Church,1951,Bowman,1951,149
Mike,Garcia,,Bowman,1951,150
Larry,Doby,,Bowman,1951,151
Cal,Abrams,1951,Bowman,1951,152
Rex,Barney,,Bowman,1951,153
Pete,Suder,,Bowman,1951,154
Lou,Brissie,,Bowman,1951,155
Del,Rice,,Bowman,1951,156
Al,Brazle,,Bowman,1951,157
Chuck,Diering,,Bowman,1951,158
Eddie,Stewart,,Bowman,1951,159
Phil,Masi,,Bowman,1951,160
Wes,Westrum,1951,Bowman,1951,161
Larry,Jansen,,Bowman,1951,162
Monte,Kennedy,,Bowman,1951,163
Bill,Wight,,Bowman,1951,164
Ted,Williams,,Bowman,1951,165
Stan,Rojek,,Bowman,1951,166
Murry,Dickson,,Bowman,1951,167
Sam,Mele,,Bowman,1951,168
Sid,Hudson,,Bowman,1951,169
Sibby,Sisti,,Bowman,1951,170
Buddy,Kerr,,Bowman,1951,171
Ned,Garver,,Bowman,1951,172
Hank,Arft,,Bowman,1951,173
Mickey,Owen,,Bowman,1951,174
Wayne,Terwilliger,,Bowman,1951,175
Vic,Wertz,,Bowman,1951,176
Charlie,Keller,,Bowman,1951,177
Ted,Gray,,Bowman,1951,178
Danny,Litwhiler,,Bowman,1951,179
Howie,Fox,,Bowman,1951,180
Casey,Stengel,,Bowman,1951,181
Tom,Ferrick,1951,Bowman,1951,182
Hank,Bauer,,Bowman,1951,183
Eddie,Sawyer,,Bowman,1951,184
Jimmy,Bloodworth,,Bowman,1951,185
Richie,Ashburn,,Bowman,1951,186
Al,Rosen,,Bowman,1951,187
Bobby,Avila,1951,Bowman,1951,188
Erv,Palica,1951,Bowman,1951,189
Joe,Hatten,,Bowman,1951,190
Billy,Hitchcock,1951,Bowman,1951,191
Hank,Wyse,1951,Bowman,1951,192
Ted,Wilks,,Bowman,1951,193
Peanuts,Lowrey,,Bowman,1951,194
Paul,Richards,,Bowman,1951,195
Billy,Pierce,1951,Bowman,1951,196
Bob,Cain,,Bowman,1951,197
Monte,Irvin,1951,Bowman,1951,198
Sheldon,Jones,,Bowman,1951,199
Jack,Kramer,,Bowman,1951,200
Steve,O'Neill,1951,Bowman,1951,201
Mike,Guerra,,Bowman,1951,202
Vern,Law,1951,Bowman,1951,203
Vic,Lombardi,1951,Bowman,1951,204
Mickey,Grasso,1951,Bowman,1951,205
Conrado,Marrero,1951,Bowman,1951,206
Billy,Southworth,1951,Bowman,1951,207
Blix,Donnelly,,Bowman,1951,208
Ken,Wood,,Bowman,1951,209
Les,Moss,,Bowman,1951,210
Hal,Jeffcoat,1951,Bowman,1951,211
Bob,Rush,,Bowman,1951,212
Neil,Berry,,Bowman,1951,213
Bob,Swift,,Bowman,1951,214
Ken,Peterson,,Bowman,1951,215
Connie,Ryan,1951,Bowman,1951,216
Joe,Page,,Bowman,1951,217
Ed,Lopat,,Bowman,1951,218
Gene,Woodling,1951,Bowman,1951,219
Bob,Miller,,Bowman,1951,220
Dick,Whitman,1951,Bowman,1951,221
Thurman,Tucker,1951,Bowman,1951,222
Johnny,VanderMeer,,Bowman,1951,223
Billy,Cox,,Bowman,1951,224
Dan,Bankhead,1951,Bowman,1951,225
Jimmie,Dykes,,Bowman,1951,226
Bobby,Shantz,,Bowman,1951,227
Cloyd,Boyer,1951,Bowman,1951,228
Bill,Howerton,,Bowman,1951,229
Max,Lanier,,Bowman,1951,230
Luis,Aloma,1951,Bowman,1951,231
Nellie,Fox,1951,Bowman,1951,232
Leo,Durocher,,Bowman,1951,233
Clint,Hartung,,Bowman,1951,234
Jack,Lohrke,,Bowman,1951,235
Buddy,Rosar,,Bowman,1951,236
Billy,Goodman,,Bowman,1951,237
Pete,Reiser,,Bowman,1951,238
Bill,MacDonald,1951,Bowman,1951,239
Joe,Haynes,,Bowman,1951,240
Irv,Noren,,Bowman,1951,241
Sam,Jethroe,,Bowman,1951,242
Johnny,Antonelli,,Bowman,1951,243
Cliff,Fannin,,Bowman,1951,244
John,Berardino,1951,Bowman,1951,245
Bill,Serena,,Bowman,1951,246
Bob,Ramazzotti,1951,Bowman,1951,247
Johnny,Klippstein,1951,Bowman,1951,248
Johnny,Groth,,Bowman,1951,249
Hank,Borowy,,Bowman,1951,250
Willard,Ramsdell,1951,Bowman,1951,251
Dixie,Howell,1951,Bowman,1951,252
Mickey,Mantle,1951,Bowman,1951,253
Jackie,Jensen,1951,Bowman,1951,254
Milo,Candini,1951,Bowman,1951,255
Ken,Silvestri,1951,Bowman,1951,256
Birdie,Tebbetts,1951,Bowman,1951,257
Luke,Easter,1951,Bowman,1951,258
Chuck,Dressen,,Bowman,1951,259
Carl,Erskine,1951,Bowman,1951,260
Wally,Moses,,Bowman,1951,261
Gus,Zernial,,Bowman,1951,262
Howie,Pollet,,Bowman,1951,263
Don,Richmond,1951,Bowman,1951,264
Steve,Bilko,1951,Bowman,1951,265
Harry,Dorish,1951,Bowman,1951,266
Ken,Holcombe,1951,Bowman,1951,267
Don,Mueller,,Bowman,1951,268
Ray,Noble,1951,Bowman,1951,269
Willard,Nixon,1951,Bowman,1951,270
Tommy,Wright,1951,Bowman,1951,271
Billy,Meyer,1951,Bowman,1951,272
Danny,Murtaugh,,Bowman,1951,273
George,Metkovich,1951,Bowman,1951,274
Bucky,Harris,,Bowman,1951,275
Frank,Quinn,1951,Bowman,1951,276
Roy,Hartsfield,1951,Bowman,1951,277
Norman,Roy,1951,Bowman,1951,278
Jim,Delsing,1951,Bowman,1951,279
Frank,Overmire,,Bowman,1951,280
Al,Widmar,1951,Bowman,1951,281
Frankie,Frisch,,Bowman,1951,282
Walt,Dubiel,1951,Bowman,1951,283
Gene,Bearden,,Bowman,1951,284
Johnny,Lipon,1951,Bowman,1951,285
Bob,Usher,1951,Bowman,1951,286
Jim,Blackburn,,Bowman,1951,287
Bobby,Adams,,Bowman,1951,288
Cliff,Mapes,,Bowman,1951,289
Bill,Dickey,,Bowman,1951,290
Tommy,Henrich,,Bowman,1951,291
Eddie,Pellagrini,,Bowman,1951,292
Ken,Johnson,1951,Bowman,1951,293
Jocko,Thompson,,Bowman,1951,294
Al,Lopez,1951,Bowman,1951,295
Bob,Kennedy,1951,Bowman,1951,296
Dave,Philley,,Bowman,1951,297
Joe,Astroth,1951,Bowman,1951,298
Clyde,King,1951,Bowman,1951,299
Hal,Rice,1951,Bowman,1951,300
Tommy,Glaviano,1951,Bowman,1951,301
Jim,Busby,1951,Bowman,1951,302
Marv,Rotblatt,1951,Bowman,1951,303
Al,Gettell,1951,Bowman,1951,304
Willie,Mays,1951,Bowman,1951,305
Jimmy,Piersall,1951,Bowman,1951,306
Walt,Masterson,,Bowman,1951,307
Ted,Beard,1951,Bowman,1951,308
Mel,Queen,1951,Bowman,1951,309
Erv,Dusak,1951,Bowman,1951,310
Mickey,Harris,,Bowman,1951,311
Gene,Mauch,1951,Bowman,1951,312
Ray,Mueller,1951,Bowman,1951,313
Johnny,Sain,,Bowman,1951,314
Zack,Taylor,,Bowman,1951,315
Duane,Pillette,1951,Bowman,1951,316
Smoky,Burgess,1951,Bowman,1951,317
Warren,Hacker,1951,Bowman,1951,318
Red,Rolfe,,Bowman,1951,319
Hal,White,1951,Bowman,1951,320
Earl,Johnson,,Bowman,1951,321
Luke,Sewell,,Bowman,1951,322
Joe,Adcock,1951,Bowman,1951,323
Johnny,Pramesa,1951,Bowman,1951,324
Bowman,Baseball Card Checklist,,Bowman,1951,1951
Yogi,Berra,,Bowman,1952,1
Bobby,Thomson,,Bowman,1952,2
Fred,Hutchinson,,Bowman,1952,3
Robin,Roberts,,Bowman,1952,4
Minnie,Minoso,1952,Bowman,1952,5
Virgil,Stallcup,,Bowman,1952,6
Mike,Garcia,,Bowman,1952,7
Pee,Wee Reese,,Bowman,1952,8
Vern,Stephens,,Bowman,1952,9
Bob,Hooper,,Bowman,1952,10
Ralph,Kiner,,Bowman,1952,11
Max,Surkont,,Bowman,1952,12
Cliff,Mapes,,Bowman,1952,13
Cliff,Chambers,,Bowman,1952,14
Sam,Mele,,Bowman,1952,15
Turk,Lown,,Bowman,1952,16
Ed,Lopat,,Bowman,1952,17
Don,Mueller,,Bowman,1952,18
Bob,Cain,,Bowman,1952,19
Willie,Jones,,Bowman,1952,20
Nellie,Fox,,Bowman,1952,21
Willard,Ramsdell,,Bowman,1952,22
Bob,Lemon,,Bowman,1952,23
Carl,Furillo,,Bowman,1952,24
Mickey,McDermott,,Bowman,1952,25
Eddie,Joost,,Bowman,1952,26
Joe,Garagiola,,Bowman,1952,27
Roy,Hartsfield,,Bowman,1952,28
Ned,Garver,,Bowman,1952,29
Red,Schoendienst,,Bowman,1952,30
Eddie,Yost,,Bowman,1952,31
Eddie,Miksis,,Bowman,1952,32
Gil,McDougald,1952,Bowman,1952,33
Alvin,Dark,,Bowman,1952,34
Granny,Hamner,,Bowman,1952,35
Cass,Michaels,,Bowman,1952,36
Vic,Raschi,,Bowman,1952,37
Whitey,Lockman,,Bowman,1952,38
Vic,Wertz,,Bowman,1952,39
Bubba,Church,,Bowman,1952,40
Chico,Carrasquel,,Bowman,1952,41
Johnny,Wyrostek,,Bowman,1952,42
Bob,Feller,,Bowman,1952,43
Roy,Campanella,,Bowman,1952,44
Johnny,Pesky,,Bowman,1952,45
Carl,Scheib,,Bowman,1952,46
Pete,Castiglione,,Bowman,1952,47
Vern,Bickford,,Bowman,1952,48
Jim,Hearn,,Bowman,1952,49
Jerry,Staley,,Bowman,1952,50
Gil,Coan,,Bowman,1952,51
Phil,Rizzuto,,Bowman,1952,52
Richie,Ashburn,,Bowman,1952,53
Billy,Pierce,,Bowman,1952,54
Ken,Raffensberger,,Bowman,1952,55
Clyde,King,,Bowman,1952,56
Clyde,Vollmer,,Bowman,1952,57
Hank,Majeski,,Bowman,1952,58
Murry,Dickson,,Bowman,1952,59
Sid,Gordon,,Bowman,1952,60
Tommy,Byrne,,Bowman,1952,61
Joe,Presko,,Bowman,1952,62
Irv,Noren,,Bowman,1952,63
Roy,Smalley,,Bowman,1952,64
